title,description,company,location,area,date,image
Early years teacher,"Cum voluptatem ex saepe culpa excepturi.
Cupiditate quas enim quae ad molestias. Sunt deleniti alias deserunt doloribus. Soluta deleniti nemo cumque.
Vitae magni eligendi ipsum. Dolor ad amet illum consequatur provident.",Grupo Empresarial Latinoamericano,Pereira,Recursos Humanos,2024-02-01,vacante/images/default.jpeg
Structural engineer,"Pariatur aut a nesciunt odio repellat beatae. Molestias molestiae accusantium doloribus. Illum reiciendis iure itaque.
Eligendi officia eos. Saepe adipisci molestiae culpa ipsam porro velit.",Consultores Globales,Ibagué,Contabilidad,2022-09-20,vacante/images/default.jpeg
Biomedical engineer,"Aliquam quo laboriosam. Eos facilis perspiciatis quam sapiente rem.
Necessitatibus voluptatum corrupti distinctio eum sequi. Minima totam ratione quia ullam. Aliquid enim non doloribus vel numquam repellendus provident.",Corporación Innovadora,Santa Marta,Desarrollo,2023-02-02,vacante/images/default.jpeg
Company secretary,Quod ducimus temporibus architecto. Exercitationem porro minus. Tenetur modi officiis veritatis culpa dolorem.,Soluciones Financieras Ltda.,Pereira,Desarrollo,2024-02-22,vacante/images/default.jpeg
Financial adviser,"Aliquam fuga culpa nostrum ducimus quis. Omnis molestiae quaerat suscipit eveniet provident maxime.
Magnam ab porro illo. Enim hic est facilis exercitationem nesciunt.",Proyectos Empresariales,Villavicencio,Soporte Técnico,2022-09-22,vacante/images/default.jpeg
Chief of Staff,"Nulla vitae ut. A odit molestiae earum nesciunt perspiciatis. Id iure sapiente tenetur.
Distinctio suscipit consectetur inventore a. Incidunt deleniti illo.
Id nostrum blanditiis quod eveniet. Porro atque totam magni amet.",Fábrica de Software Internacional,Cali,Administración,2020-09-09,vacante/images/default.jpeg
Biomedical scientist,"Impedit culpa architecto asperiores nemo. Provident molestiae iusto. Mollitia repellendus quae eius.
Debitis dolores aperiam odio facere. Non id deleniti quo.",Grupo Empresarial Latinoamericano,Cali,Soporte Técnico,2024-07-04,vacante/images/default.jpeg
"Research officer, political party","Modi illo sint maiores odit voluptas. Fugit similique sequi ut hic esse provident. Dicta corporis deserunt et nihil repellendus.
Aspernatur quia exercitationem voluptatum nesciunt. Deserunt reprehenderit quod repellat.",Fábrica de Software Internacional,Neiva,Soporte Técnico,2025-01-10,vacante/images/default.jpeg
Health and safety adviser,"A aperiam adipisci fugiat alias. Cupiditate minus dolor voluptates.
Ipsam quisquam cum fuga veritatis. Quae cumque mollitia exercitationem praesentium aperiam. Quasi beatae occaecati aspernatur eveniet laudantium esse.",Soluciones Financieras Ltda.,Barranquilla,Recursos Humanos,2021-01-05,vacante/images/default.jpeg
"Conservator, furniture",Fuga reprehenderit iusto natus. Placeat velit placeat animi excepturi voluptas laudantium vel. Alias cumque provident accusantium quibusdam.,Sistemas Digitales S.A.,Medellín,Ventas,2021-05-27,vacante/images/default.jpeg
Geophysical data processor,"Ab accusamus dolor eligendi asperiores. Debitis eius ut veniam.
Reprehenderit quis libero voluptate impedit veniam. Eligendi deleniti eveniet illo. Eum ratione pariatur quam saepe esse magni.",Estrategias de Marketing Digital,Cúcuta,Recursos Humanos,2020-06-03,vacante/images/default.jpeg
Technical author,"Culpa inventore tempore iusto possimus explicabo. Expedita est pariatur laudantium esse consectetur modi pariatur.
Tempora necessitatibus tempora nulla distinctio.",Consultores Globales,Armenia,Soporte Técnico,2023-09-24,vacante/images/default.jpeg
Dramatherapist,"Modi animi pariatur esse ducimus. Sint dignissimos voluptatibus amet.
Optio alias fuga iusto minus doloribus blanditiis. Eaque ab voluptates vel.",Proyectos Empresariales,Medellín,Contabilidad,2023-03-05,vacante/images/default.jpeg
"Editor, commissioning","Quia sequi numquam nobis optio voluptatibus ipsam. Deserunt dolorum aut sapiente optio explicabo.
Fugit expedita quidem impedit a nam. Dicta ut error expedita voluptatibus vero ratione. Quaerat nisi esse laboriosam corrupti nobis dignissimos.",Estrategias de Marketing Digital,Cúcuta,Investigación,2022-01-25,vacante/images/default.jpeg
Cabin crew,"Debitis eos corrupti ipsa vel quam. Architecto nam iusto dolore.
Veritatis debitis vitae sint repellendus eaque quidem. Corporis totam saepe labore explicabo. Doloremque neque perspiciatis adipisci voluptatibus provident.",Soluciones Financieras Ltda.,Pasto,Investigación,2022-01-15,vacante/images/default.jpeg
Housing manager/officer,"Atque illo nihil tempora nulla. Vel alias explicabo ex et. Dignissimos id animi adipisci nemo odio.
Veniam in error incidunt deserunt. Vero iste ullam voluptatem eveniet.",Corporación Innovadora,Ibagué,Diseño,2024-11-15,vacante/images/default.jpeg
Clinical psychologist,Veritatis illo quis quia necessitatibus cumque incidunt. Placeat blanditiis minima quis fuga porro. Quas aperiam maxime sunt nemo.,Proyectos Empresariales,Cúcuta,Desarrollo,2020-03-18,vacante/images/default.jpeg
Nature conservation officer,"Vitae autem similique facilis. Fuga eius cumque. Ut recusandae praesentium consequuntur. Quasi voluptatem libero officiis doloribus non excepturi.
Provident hic debitis sunt itaque aspernatur. Quae voluptate eum nemo maxime quisquam unde.",Soluciones Financieras Ltda.,Cali,Desarrollo,2021-02-05,vacante/images/default.jpeg
"Radiographer, therapeutic","Ea voluptatum repellendus. Assumenda sed dicta quia quas.
Odio laudantium consequuntur. Quisquam accusamus error. Ullam similique commodi possimus asperiores.",Sistemas Digitales S.A.,Medellín,Ventas,2021-10-16,vacante/images/default.jpeg
Public relations account executive,Facilis hic voluptate corporis blanditiis labore. Dolor voluptatem id maiores. Dolores dolorem ullam praesentium deserunt voluptatum atque. Et id cupiditate necessitatibus perferendis.,Compañía Nacional de Tecnología,Pereira,Diseño,2022-09-04,vacante/images/default.jpeg
Chief Technology Officer,Id voluptates quas aperiam dolores. Maxime eveniet dolorem officiis veritatis voluptatibus.,Sistemas Digitales S.A.,Santa Marta,Consultoría,2024-09-03,vacante/images/default.jpeg
"Teacher, secondary school",Porro eaque aliquid inventore quia pariatur asperiores. Minus harum quia reiciendis. Earum minima fugiat.,Estrategias de Marketing Digital,Pasto,Consultoría,2024-02-04,vacante/images/default.jpeg
Management consultant,"Aspernatur qui facere perspiciatis accusamus. Neque voluptatibus voluptas quia.
Hic id inventore laboriosam recusandae vel facilis. Aliquam necessitatibus nesciunt. Eveniet quidem eius architecto similique.",Fábrica de Software Internacional,Armenia,Diseño,2020-03-16,vacante/images/default.jpeg
"Scientist, marine","Dolorum dolore saepe debitis architecto. Eligendi ea mollitia quod cupiditate nesciunt. Minima adipisci totam.
Esse nostrum harum nulla quasi.
Beatae velit omnis impedit sed minus pariatur fugit. Minima quia voluptas sequi.",Consultores Globales,Bucaramanga,Administración,2021-07-11,vacante/images/default.jpeg
Lexicographer,Recusandae commodi voluptas aliquid natus in sint. Rem blanditiis tempora aliquam consequuntur. Placeat aperiam pariatur unde vero nostrum iure amet.,Compañía Nacional de Tecnología,Santa Marta,Recursos Humanos,2023-10-12,vacante/images/default.jpeg
Research scientist (physical sciences),"Alias sapiente corrupti maiores. Fuga dolorem perspiciatis aspernatur.
Facilis consectetur aut similique nisi non debitis. Esse est quae eligendi. Quas commodi ipsum aut sequi assumenda.",Servicios de Infraestructura TIC,Manizales,Administración,2020-10-08,vacante/images/default.jpeg
"Secretary, company","Nulla illo natus molestias harum. Aspernatur omnis neque alias quis.
Sed tenetur placeat adipisci eos sunt ad. Necessitatibus veniam esse molestiae. Laborum tenetur sint reprehenderit aliquam.",Sistemas Digitales S.A.,Villavicencio,Recursos Humanos,2022-10-07,vacante/images/default.jpeg
"Librarian, public",Similique eligendi voluptates voluptas. Velit voluptatum delectus nulla. Ad expedita blanditiis animi accusantium nihil praesentium. Itaque dicta odit quisquam dolorem.,Consultores Globales,Neiva,Diseño,2020-04-09,vacante/images/default.jpeg
Midwife,"Eveniet cum est nesciunt labore dicta.
Provident accusantium aut ipsum accusamus quas id. At non architecto illum maiores saepe ratione. Quae quia nihil asperiores atque iusto.
Dolor voluptatem ipsa voluptas rerum. Aperiam distinctio in minus.",Soluciones Financieras Ltda.,Pereira,Administración,2021-05-27,vacante/images/default.jpeg
Medical illustrator,Explicabo sit aut harum perspiciatis voluptate. Odit ut quo deserunt corrupti error est. Ducimus magnam vero nisi deserunt necessitatibus vero laborum. Atque eius perferendis illo pariatur facilis voluptatum.,Estrategias de Marketing Digital,Barranquilla,Investigación,2024-08-01,vacante/images/default.jpeg
"Solicitor, Scotland",Nesciunt nemo tempora deleniti praesentium perspiciatis ipsum. Iusto dolores maiores eum deleniti enim corporis. Corrupti ipsa inventore.,Compañía Nacional de Tecnología,Bucaramanga,Recursos Humanos,2023-07-01,vacante/images/default.jpeg
Marine scientist,Earum omnis consequatur ipsa distinctio consequuntur itaque. Quos non dolore. Magnam nisi commodi nemo sunt cupiditate veritatis.,Soluciones Financieras Ltda.,Manizales,Administración,2020-12-22,vacante/images/default.jpeg
Charity officer,Tenetur ab itaque nulla molestias exercitationem sit. Vitae impedit quam aspernatur. Ex facilis velit eligendi aut delectus.,Corporación Innovadora,Bucaramanga,Investigación,2020-08-09,vacante/images/default.jpeg
"Radiographer, therapeutic","Temporibus fugit id magnam tempora nisi ducimus dolorem.
Earum magni pariatur. Maiores velit maxime fuga tempore ducimus vel.
Consequatur laborum illo molestias debitis quasi dolorum.",Servicios de Infraestructura TIC,Bucaramanga,Marketing,2024-01-26,vacante/images/default.jpeg
Trade mark attorney,Cupiditate amet nulla exercitationem expedita facilis. Voluptates quidem eveniet eligendi. Totam et rem dolore.,Compañía Nacional de Tecnología,Cali,Recursos Humanos,2020-05-18,vacante/images/default.jpeg
"Conservation officer, historic buildings","Sapiente qui consequatur culpa atque. Molestias sapiente corrupti voluptatibus. Eligendi ipsa iusto distinctio totam.
Blanditiis reprehenderit possimus temporibus impedit eaque quod. Non dignissimos neque non fugiat architecto asperiores ullam.",Grupo Empresarial Latinoamericano,Bogotá,Consultoría,2021-08-22,vacante/images/default.jpeg
Higher education lecturer,"A hic explicabo pariatur est earum recusandae modi. Est amet eligendi distinctio deleniti ipsam.
Illo voluptatibus eligendi voluptatum.
Eveniet exercitationem consectetur. Nisi totam officiis ducimus.
Veniam laborum voluptatem expedita.",Servicios de Infraestructura TIC,Ibagué,Desarrollo,2021-12-16,vacante/images/default.jpeg
Technical brewer,"Aliquid aliquid quasi consequatur ut ducimus. Sapiente maxime veniam soluta reprehenderit aspernatur.
Maxime ipsa atque architecto. Tempore illum sit quo. Deleniti cum doloremque eveniet.",Estrategias de Marketing Digital,Armenia,Administración,2024-04-18,vacante/images/default.jpeg
"Engineer, water",Voluptate nobis quibusdam consequuntur quasi voluptatem. Quasi quaerat velit. Cumque quia inventore commodi debitis fugiat.,Corporación Innovadora,Pasto,Marketing,2021-05-18,vacante/images/default.jpeg
"Scientist, biomedical","Nostrum vitae assumenda explicabo excepturi quasi facere minus. Dolores sunt numquam.
Magni voluptatibus eveniet perferendis.
Fugit harum et nisi. Quas molestiae consequuntur officia. Ratione aut facilis ullam explicabo placeat.",Fábrica de Software Internacional,Villavicencio,Recursos Humanos,2020-06-23,vacante/images/default.jpeg
"Civil engineer, contracting","Quo vel aut placeat ut dolores. Fugit placeat fugit rem labore. Consequuntur exercitationem ipsum sit voluptate.
Quisquam sit aut itaque laudantium. Odio inventore quasi asperiores dicta atque corrupti. Error quae unde asperiores fuga.",Servicios de Infraestructura TIC,Pasto,Ventas,2024-03-11,vacante/images/default.jpeg
Gaffer,"Error quos enim architecto doloribus. Blanditiis ut a sint officia.
Eligendi sunt accusamus sequi corrupti et non. Harum odit nihil laborum.
Minus reprehenderit excepturi labore harum. Cum asperiores voluptate ipsa eos neque.",Servicios de Infraestructura TIC,Pasto,Diseño,2022-02-05,vacante/images/default.jpeg
Further education lecturer,Sit quisquam dolorum nostrum quos magnam dignissimos. Quisquam odit praesentium sit accusantium impedit. Voluptates aperiam minus dolorem provident.,Compañía Nacional de Tecnología,Villavicencio,Diseño,2020-06-08,vacante/images/default.jpeg
Race relations officer,"Earum ex cum similique in. Commodi incidunt voluptate saepe voluptatem quis. Ut sed laborum minima quod cupiditate blanditiis natus.
Aspernatur tenetur et maiores. Labore numquam ad facere fuga vel fugiat. Quia minus fuga error maxime.",Consultores Globales,Ibagué,Desarrollo,2023-07-14,vacante/images/default.jpeg
Community education officer,"Nulla voluptas ducimus impedit optio. Numquam a error voluptas dicta dolorum dignissimos.
Facilis eveniet vitae autem natus ipsa tempora. Dolorum blanditiis labore ducimus expedita quaerat. Inventore provident possimus unde quod consectetur dolorum.",Servicios de Infraestructura TIC,Cartagena,Administración,2023-06-20,vacante/images/default.jpeg
English as a second language teacher,"Deleniti explicabo sit voluptatem officia fugiat aliquam. Perferendis culpa explicabo.
Cum hic quidem magni iste. Iure repellat at sunt id harum odio. Corporis fuga perferendis ut porro.",Fábrica de Software Internacional,Santa Marta,Consultoría,2021-06-17,vacante/images/default.jpeg
Fitness centre manager,"Nihil impedit voluptatem at harum. Temporibus corrupti quasi architecto. Repellat veritatis repellendus fugiat.
Ea voluptatibus odit occaecati molestias iure. Quis dolorem vel placeat maiores similique.",Corporación Innovadora,Medellín,Soporte Técnico,2020-07-17,vacante/images/default.jpeg
"Therapist, art","Quae voluptate officiis repellat nostrum deserunt.
Laudantium ipsa inventore architecto dolorem. Temporibus aperiam deserunt doloremque nisi.
Id quam sunt nulla modi saepe. Soluta voluptatum accusamus iste.",Fábrica de Software Internacional,Pasto,Contabilidad,2024-02-02,vacante/images/default.jpeg
"Secretary, company","Suscipit iusto nihil. Eos in facere aliquid vero.
Eligendi velit architecto sint ad. Cum ipsa qui repellat sapiente.",Corporación Innovadora,Armenia,Desarrollo,2021-12-21,vacante/images/default.jpeg
"Doctor, general practice",Repudiandae recusandae repudiandae nemo eum harum. Officiis assumenda sapiente maiores assumenda ullam. Voluptates magni hic maiores.,Servicios de Infraestructura TIC,Ibagué,Soporte Técnico,2023-09-29,vacante/images/default.jpeg
Trade mark attorney,"Voluptate voluptatem ut vitae veritatis optio totam.
Aut labore ipsa. Aut nostrum repellendus nemo. Nobis dolore sint magnam magnam.
Nulla unde debitis deleniti sunt voluptatem iure. Minus quia eum illo necessitatibus similique molestias.",Soluciones Financieras Ltda.,Medellín,Consultoría,2023-08-11,vacante/images/default.jpeg
"Surveyor, hydrographic",Harum suscipit accusamus unde ea consequatur itaque. Odio ratione officiis ratione. Cupiditate itaque adipisci neque ad a sequi eos.,Fábrica de Software Internacional,Bucaramanga,Recursos Humanos,2020-07-31,vacante/images/default.jpeg
"Engineer, water",Praesentium sint harum excepturi necessitatibus dicta atque. Veritatis ratione impedit iure laudantium nostrum maiores. Corrupti eaque nostrum blanditiis voluptatem molestiae cupiditate.,Corporación Innovadora,Cali,Recursos Humanos,2023-04-07,vacante/images/default.jpeg
Medical illustrator,"Doloremque amet corrupti. Temporibus voluptatibus deleniti similique quae totam impedit.
Adipisci vero eaque laborum officia. Commodi repellat quam soluta eligendi recusandae pariatur. Vero porro eveniet eveniet consectetur veritatis quaerat vero.",Corporación Innovadora,Armenia,Contabilidad,2023-06-19,vacante/images/default.jpeg
Data processing manager,Totam velit vel cupiditate molestias nihil sapiente. Id distinctio dicta reprehenderit eos odio voluptatibus. Qui exercitationem eum id facere.,Soluciones Financieras Ltda.,Cúcuta,Administración,2020-02-09,vacante/images/default.jpeg
"Nurse, children's",Voluptatibus dolorem earum cupiditate fuga eos vel non. Tempora ipsa distinctio sapiente incidunt et eum consectetur. Beatae explicabo numquam esse facere quia rerum.,Proyectos Empresariales,Manizales,Diseño,2023-09-16,vacante/images/default.jpeg
Higher education lecturer,Enim excepturi provident rerum quia. Nam illo labore culpa. Iure quos quo odio numquam dolor. Inventore officiis dolorum iusto.,Corporación Innovadora,Cali,Ventas,2024-03-31,vacante/images/default.jpeg
Community pharmacist,Ex rem impedit labore alias fugit. Soluta ipsa adipisci vero. Soluta deleniti assumenda nulla ea sapiente voluptate.,Estrategias de Marketing Digital,Bogotá,Administración,2024-01-19,vacante/images/default.jpeg
Psychiatric nurse,"Harum voluptate quos ullam at nulla modi. Occaecati laudantium maxime incidunt sed et repudiandae magni.
Amet consequuntur minus. Consequatur eius laudantium. Quibusdam maxime nihil provident sed.",Compañía Nacional de Tecnología,Cartagena,Consultoría,2023-06-06,vacante/images/default.jpeg
Environmental health practitioner,"Illo porro quibusdam ipsa tempore id quaerat. Sapiente nobis in voluptatum.
Dicta aut est eveniet ab occaecati consequuntur. Explicabo consectetur cupiditate expedita ipsa ut praesentium.",Fábrica de Software Internacional,Villavicencio,Consultoría,2025-01-04,vacante/images/default.jpeg
Technical author,Vel saepe provident quibusdam eum consequuntur tenetur inventore. Aspernatur vitae aperiam ullam magni occaecati.,Estrategias de Marketing Digital,Barranquilla,Investigación,2021-07-10,vacante/images/default.jpeg
Ophthalmologist,"Praesentium neque quam pariatur illum voluptates. Modi sapiente non pariatur at.
Possimus eligendi itaque maxime. Quidem praesentium illo ducimus iusto. Excepturi animi eligendi eum suscipit ad.",Grupo Empresarial Latinoamericano,Barranquilla,Investigación,2023-04-27,vacante/images/default.jpeg
"Scientist, audiological","Natus et pariatur enim veniam unde culpa. Molestias enim veniam laborum minus.
Non quis amet. Magnam natus laborum iste repellendus labore debitis.
Alias earum in doloremque quam id. Temporibus voluptas voluptate nobis dolor.",Compañía Nacional de Tecnología,Cartagena,Diseño,2023-01-01,vacante/images/default.jpeg
Fish farm manager,Voluptatem ipsa esse voluptates doloribus fugiat. Blanditiis saepe qui deleniti laborum. Amet atque officiis eaque eaque animi recusandae.,Soluciones Financieras Ltda.,Santa Marta,Contabilidad,2022-05-26,vacante/images/default.jpeg
Press sub,"Sint nulla voluptatem rem. Corrupti perferendis cupiditate pariatur. Reprehenderit illum laudantium quam officia neque sapiente asperiores.
Corrupti quis quibusdam optio qui consequatur. Et repellat amet iste architecto doloribus unde laudantium.",Proyectos Empresariales,Manizales,Diseño,2022-12-09,vacante/images/default.jpeg
"Education officer, museum","Vitae doloremque ipsa iste molestias. Dignissimos culpa cumque perferendis dicta.
Nihil esse fugiat in. Maxime ad voluptates dolor magnam.
Similique sed esse repudiandae culpa distinctio odio. Odit impedit quasi pariatur harum accusantium.",Estrategias de Marketing Digital,Pereira,Consultoría,2025-01-02,vacante/images/default.jpeg
"Education officer, environmental","Voluptatem in quis expedita minima a perspiciatis. Dolore dignissimos quos nesciunt accusantium nesciunt.
Placeat error molestiae praesentium. Necessitatibus atque perspiciatis alias cumque.",Soluciones Financieras Ltda.,Santa Marta,Consultoría,2021-05-26,vacante/images/default.jpeg
"Optician, dispensing","Atque quae excepturi qui architecto facere. Excepturi soluta nihil excepturi itaque explicabo. Blanditiis facere asperiores fugit.
Illo amet laboriosam. Harum praesentium odit. Est similique nemo. Iure iste unde tempora quam.",Sistemas Digitales S.A.,Villavicencio,Diseño,2022-07-17,vacante/images/default.jpeg
Police officer,"Cupiditate quos repudiandae ratione error odit ipsam. Accusamus ullam optio nostrum dicta nisi. Optio provident explicabo mollitia non totam.
Provident laborum enim vel suscipit. Facere officiis enim repellat. Molestiae unde asperiores dolor dolore.",Servicios de Infraestructura TIC,Manizales,Administración,2020-02-23,vacante/images/default.jpeg
